"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 29 16:29:47 GMT 2022","Wed Jun 29 16:30:28 GMT 2022","40733","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка добавления в ПУА пользователя свободного домена","Проверка добавления в ПУА пользователя свободного домена",""
"passed","Wed Jun 29 16:30:28 GMT 2022","Wed Jun 29 16:30:41 GMT 2022","13598","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка валидации на добавление в ПУА пользователя занятого домена","Проверка валидации на добавление в ПУА пользователя занятого домена",""
"passed","Wed Jun 29 16:30:41 GMT 2022","Wed Jun 29 16:30:55 GMT 2022","13725","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка создания нового сайта в ПУА пользователя","Проверка создания нового сайта в ПУА пользователя",""
"failed","Wed Jun 29 16:30:55 GMT 2022","Wed Jun 29 16:31:09 GMT 2022","14153","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка возможности изменения комментария сайта","Проверка возможности изменения комментария сайта",""
"passed","Wed Jun 29 16:29:40 GMT 2022","Wed Jun 29 16:29:47 GMT 2022","6862","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка успешной авторизации пользователя","Проверка успешной авторизации пользователя",""
"passed","Wed Jun 29 16:31:09 GMT 2022","Wed Jun 29 16:31:23 GMT 2022","14326","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка возможности изменения настроек сайта","Проверка возможности изменения настроек сайта",""
"failed","Wed Jun 29 16:28:55 GMT 2022","Wed Jun 29 16:29:40 GMT 2022","44812","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка перехода в ПУА после регистрации нового пользователя","Проверка перехода в ПУА после регистрации нового пользователя",""
