"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 08:54:16 GMT 2022","Tue Jun 28 08:54:41 GMT 2022","25647","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Регистрация нового пользователя","Регистрация нового пользователя",""
"passed","Tue Jun 28 08:55:53 GMT 2022","Tue Jun 28 08:56:09 GMT 2022","15335","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Изменение настроек сайта","Изменение настроек сайта",""
"passed","Tue Jun 28 08:55:38 GMT 2022","Tue Jun 28 08:55:53 GMT 2022","15176","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Изменение комментария сайта","Изменение комментария сайта",""
"passed","Tue Jun 28 08:55:09 GMT 2022","Tue Jun 28 08:55:25 GMT 2022","16658","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка занятого домена","Проверка занятого домена",""
"passed","Tue Jun 28 08:54:41 GMT 2022","Tue Jun 28 08:54:47 GMT 2022","5716","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Авторизация пользователя","Авторизация пользователя",""
"passed","Tue Jun 28 08:55:25 GMT 2022","Tue Jun 28 08:55:38 GMT 2022","13043","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Создание сайта","Создание сайта",""
"passed","Tue Jun 28 08:54:47 GMT 2022","Tue Jun 28 08:55:09 GMT 2022","21365","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка свободного домена","Проверка свободного домена",""
