"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 29 10:03:34 GMT 2022","Wed Jun 29 10:04:06 GMT 2022","32220","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка валидации на добавление в ПУА пользователя занятого домена","Проверка валидации на добавление в ПУА пользователя занятого домена",""
"failed","Wed Jun 29 10:04:38 GMT 2022","Wed Jun 29 10:05:10 GMT 2022","32236","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка возможности изменения комментария сайта","Проверка возможности изменения комментария сайта",""
"passed","Wed Jun 29 10:01:58 GMT 2022","Wed Jun 29 10:02:27 GMT 2022","28417","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка перехода в ПУА после регистрации нового пользователя","Проверка перехода в ПУА после регистрации нового пользователя",""
"failed","Wed Jun 29 10:05:10 GMT 2022","Wed Jun 29 10:05:43 GMT 2022","32762","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка возможности изменения настроек сайта","Проверка возможности изменения настроек сайта",""
"failed","Wed Jun 29 10:02:27 GMT 2022","Wed Jun 29 10:03:00 GMT 2022","33720","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка успешной авторизации пользователя","Проверка успешной авторизации пользователя",""
"failed","Wed Jun 29 10:03:00 GMT 2022","Wed Jun 29 10:03:34 GMT 2022","33128","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка добавления в ПУА пользователя свободного домена","Проверка добавления в ПУА пользователя свободного домена",""
"failed","Wed Jun 29 10:04:06 GMT 2022","Wed Jun 29 10:04:38 GMT 2022","32279","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка создания нового сайта в ПУА пользователя","Проверка создания нового сайта в ПУА пользователя",""
