"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 15:49:48 GMT 2022","Wed Jun 29 15:50:01 GMT 2022","13697","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка возможности изменения комментария сайта","Проверка возможности изменения комментария сайта",""
"passed","Wed Jun 29 15:50:01 GMT 2022","Wed Jun 29 15:50:16 GMT 2022","15159","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка возможности изменения настроек сайта","Проверка возможности изменения настроек сайта",""
"passed","Wed Jun 29 15:48:54 GMT 2022","Wed Jun 29 15:49:08 GMT 2022","14173","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка валидации на добавление в ПУА пользователя занятого домена","Проверка валидации на добавление в ПУА пользователя занятого домена",""
"passed","Wed Jun 29 15:48:35 GMT 2022","Wed Jun 29 15:48:54 GMT 2022","19032","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка добавления в ПУА пользователя свободного домена","Проверка добавления в ПУА пользователя свободного домена",""
"failed","Wed Jun 29 15:47:53 GMT 2022","Wed Jun 29 15:48:28 GMT 2022","35558","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка перехода в ПУА после регистрации нового пользователя","Проверка перехода в ПУА после регистрации нового пользователя",""
"failed","Wed Jun 29 15:49:08 GMT 2022","Wed Jun 29 15:49:48 GMT 2022","39832","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка создания нового сайта в ПУА пользователя","Проверка создания нового сайта в ПУА пользователя",""
"passed","Wed Jun 29 15:48:28 GMT 2022","Wed Jun 29 15:48:35 GMT 2022","6155","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка успешной авторизации пользователя","Проверка успешной авторизации пользователя",""
