"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 10:12:00 GMT 2022","Wed Jun 29 10:12:07 GMT 2022","6360","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка успешной авторизации пользователя","Проверка успешной авторизации пользователя",""
"passed","Wed Jun 29 10:13:47 GMT 2022","Wed Jun 29 10:14:26 GMT 2022","39182","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка возможности изменения комментария сайта","Проверка возможности изменения комментария сайта",""
"passed","Wed Jun 29 10:12:27 GMT 2022","Wed Jun 29 10:13:08 GMT 2022","40572","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка валидации на добавление в ПУА пользователя занятого домена","Проверка валидации на добавление в ПУА пользователя занятого домена",""
"failed","Wed Jun 29 10:11:12 GMT 2022","Wed Jun 29 10:12:00 GMT 2022","47890","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка перехода в ПУА после регистрации нового пользователя","Проверка перехода в ПУА после регистрации нового пользователя",""
"passed","Wed Jun 29 10:12:07 GMT 2022","Wed Jun 29 10:12:27 GMT 2022","20287","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка добавления в ПУА пользователя свободного домена","Проверка добавления в ПУА пользователя свободного домена",""
"failed","Wed Jun 29 10:13:08 GMT 2022","Wed Jun 29 10:13:47 GMT 2022","39543","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка создания нового сайта в ПУА пользователя","Проверка создания нового сайта в ПУА пользователя",""
"passed","Wed Jun 29 10:14:26 GMT 2022","Wed Jun 29 10:14:39 GMT 2022","13116","","UI-тесты для проекта TimeWeb","","UI-тесты для проекта TimeWeb","Проверка возможности изменения настроек сайта","Проверка возможности изменения настроек сайта",""
